id,prefix,family,answer_type,review_bucket,pred_answer,pred_unit,gold_answer,gold_unit,failure_reason,question_snippet,trace_summary
LD091,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,4.32 × 10^5,V/m,could not build field geometry coordinates,"Two electric charges, q1 = -10 × 10⁻⁸ C and q2 = 10 × 10⁻⁸ C, are placed at points A and B in air, with AB = 6 cm. Determine the electric field vector at point M, which lies on...","relations=[{""data"": {""distance_si"": 0.06, ""observation_id"": ""obs_002_AB"", ""po..."
LD094,LD,electrostatics_field,numeric,geometry_relation_missing,,-,5.625 × 10^7,V/m,could not build field geometry coordinates,"Two point charges q1 = +2 × 10^-6 C and q2 = −2 × 10^-6 C are placed at points A and B, separated by 6 cm in air. Calculate the net electric field strength at point M, which is...","relations=[{""data"": {""distance_si"": 0.06, ""observation_id"": ""obs_002_AB"", ""po..."
LD097,LD,electrostatics_field,numeric,geometry_relation_missing,,-,3.75 × 10^7,V/m,could not build field geometry coordinates,"Two electric charges q1 = +3 × 10^-6 C and q2 = +4 × 10^-6 C are placed at points A and B, which are 5 cm apart. Calculate the resultant electric field strength at point M, whic...","relations=[{""data"": {""distance_si"": 0.05, ""observation_id"": ""obs_002_AB"", ""po..."
LD098,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,1.152 × 10^7,V/m,could not build field geometry coordinates,"Two point charges q1 = −2 × 10^-6 C and q2 = −2 × 10^-6 C are placed at points A and B, 6 cm apart. Calculate the resultant electric field strength at point C, which lies on the...","relations=[{""data"": {""distance_si"": 0.06, ""observation_id"": ""obs_002_AB"", ""po..."
LD099,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,2.55 × 10^6,V/m,could not build field geometry coordinates,"Two electric charges, q1 = +1 × 10^-6 C and q2 = −1 × 10^-6 C, are placed 10 cm apart. Calculate the resultant electric field at point M, which is equidistant from both charges...","relations=[{""data"": {""distance_si"": 0.1, ""observation_id"": ""obs_002_num"", ""po..."
LD100,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,5.67 × 10^6,V/m,could not build field geometry coordinates,"Two electric charges, q1 = +3 × 10^-6 C and q2 = −3 × 10^-6 C, are placed at points A and B, separated by 10 cm. Point M lies on the perpendicular bisector of AB, at a distance...","relations=[{""data"": {""distance_si"": 0.1, ""observation_id"": ""obs_002_AB"", ""poi..."
DT001,DT,electrostatics_field,numeric,geometry_relation_missing,,-,0,V/m,could not build field geometry coordinates,"Two point charges, q1 and q2, are placed at points A and B, separated by 10 cm in air. Both charges have a magnitude of q1 = q2 = 16 x 10^-8 C. Determine the electric field stre...","relations=[{""data"": {""distance_si"": 0.05, ""observation_id"": ""obs_002_MB"", ""po..."
DT003,DT,electrostatics_field,numeric,geometry_relation_missing,,-,351000,V/m,could not build field geometry coordinates,"Two point charges, q1 = q2 = 16 x 10^-8 C, are placed at points A and B, which are 10 cm apart in the air. Determine the electric field strength caused by these two point charge...","relations=[{""data"": {""distance_si"": 0.08, ""observation_id"": ""obs_002_BC"", ""po..."
DT005,DT,electrostatics_field,numeric,geometry_relation_missing,,-,0.094,N,could not build field geometry coordinates,"At two points A and B, 10 cm apart in the air, two point charges are placed: q1 = 6 x 10^-6 C and q2 = -6 x 10^-6 C. Determine the electric field strength caused by these two ch...","relations=[{""data"": {""distance_si"": 0.12, ""observation_id"": ""obs_002_BC"", ""po..."
DT048,DT,electrostatics_field,numeric,geometry_right_triangle_or_perpendicular,,-,246,V/m,could not build field geometry coordinates,"At the three vertices of a right-angled triangle ABC (with the right angle at A), which has side lengths BC = 50 cm, AC = 40 cm, and AB = 30 cm, charges q1 = q2 = q3 = 10^-9 C a...","relations=[{""data"": {""distance_si"": 0.5, ""observation_id"": ""obs_003_BC"", ""poi..."
DT053,DT,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,2000,V/m,could not build field geometry coordinates,"Two point charges q1 = 2 x 10⁻² μC and q2 = –2 x 10⁻² μC are placed at points A and B, separated by a distance a = 30 cm, in the air. What is the magnitude of the electric field...","relations=[{""data"": {""distance_si"": 0.3, ""observation_id"": ""obs_002_a"", ""poin..."
DT082,DT,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,1272792.21,V/m,could not build field geometry coordinates,"Two point charges, q1 = 8 x 10^-8 C and q2 = -8 x 10^-8 C, are placed at points A and B in air. The distance AB is 4 cm. Find the magnitude of the electric field vector at point...",relations=[]
DT100,DT,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,5.76 x 10^4,N/C,could not build field geometry coordinates,"Two electric charges q₁ = +2 × 10^-8 C and q₂ = +2 × 10^-8 C are placed at two points A and B, separated by 8 cm. Calculate the magnitude of the electric field at point M, which...","relations=[{""data"": {""distance_si"": 0.08, ""observation_id"": ""obs_002_AB"", ""po..."
LD297,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,1.84*10^7,V/m,could not build field geometry coordinates,"Two electric charges, q1 = +2.6 × 10^-6 C and q2 = -2.6 × 10^-6 C, are placed at points A and B, 5.2 cm apart. Point M lies on the perpendicular bisector of AB, at a distance of...","relations=[{""data"": {""distance_si"": 0.052000000000000005, ""observation_id"": ""..."
LD298,LD,electrostatics_field,numeric,geometry_midpoint_grounding,,-,8.14 × 10^6,V/m,could not build field geometry coordinates,"Two electric charges, q1 = +1.2 × 10^-6 C and q2 = -1.2 × 10^-6 C, are placed at two points A and B, separated by 10.3 cm. Consider point M as the midpoint of AB. Calculate the...","relations=[{""data"": {""distance_si"": 0.10300000000000001, ""observation_id"": ""o..."
LD300,LD,electrostatics_field,numeric,geometry_midpoint_grounding,,-,6.26 × 10^7,V/m,could not build field geometry coordinates,"Two point charges, q1 = +5.7 × 10^-6 C and q2 = -5.7 × 10^-6 C, are placed at points A and B, 8.1 cm apart. Let M be the midpoint of AB. Calculate the net electric field at M. G...","relations=[{""data"": {""distance_si"": 0.081, ""observation_id"": ""obs_002_AB"", ""p..."
LD307,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,1.493*10^7,V/m,could not build field geometry coordinates,"Two electric charges, q1 = +3.5 × 10^-6 C and q2 = -3.5 × 10^-6 C, are placed at points A and B, separated by 10.3 cm. Point M is located on the perpendicular bisector of AB, at...","relations=[{""data"": {""distance_si"": 0.10300000000000001, ""observation_id"": ""o..."
LD312,LD,electrostatics_field,numeric,geometry_midpoint_grounding,,-,3.2 × 10^7,V/m,could not build field geometry coordinates,"Two point charges, q1 = +1.2 × 10^-6 C and q2 = -1.2 × 10^-6 C, are placed at points A and B, separated by a distance of 5.2 cm. Consider point M as the midpoint of the segment...","relations=[{""data"": {""of"": [""T"", ""H""], ""point"": ""S""}, ""id"": ""rel_000_midpoint..."
LD316,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,1.684*10^7,V/m,could not build field geometry coordinates,"Two charges q1 = +4.8 × 10^-6 C and q2 = -4.8 × 10^-6 C are placed at points A and B, separated by 9.7 cm. Point M is on the perpendicular bisector of AB, 4.0 cm away from AB. C...","relations=[{""data"": {""distance_si"": 0.09699999999999999, ""observation_id"": ""o..."
LD321,LD,electrostatics_field,numeric,geometry_midpoint_grounding,,-,1.32 × 10^7,V/m,could not build field geometry coordinates,"Two electric charges, q1 = +1.2 × 10^-6 C and q2 = -1.2 × 10^-6 C, are placed at points A and B, separated by 8.1 cm. Consider point M as the midpoint of AB. Calculate the net e...","relations=[{""data"": {""distance_si"": 0.081, ""observation_id"": ""obs_002_AB"", ""p..."
LD325,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,7.378*10^6,V/m,could not build field geometry coordinates,"Two charges, q1 = +2.6 × 10^-6 C and q2 = -2.6 × 10^-6 C, are placed at points A and B, separated by 8.1 cm. Point M lies on the perpendicular bisector of AB and is 4.9 cm from...","relations=[{""data"": {""distance_si"": 0.081, ""observation_id"": ""obs_002_AB"", ""p..."
LD326,LD,electrostatics_field,numeric,geometry_midpoint_grounding,,-,1.28 × 10^8,V/m,could not build field geometry coordinates,"Two electric charges, q1 = +4.8 × 10^-6 C and q2 = -4.8 × 10^-6 C, are placed at two points A and B, separated by 5.2 cm. Consider point M as the midpoint of AB. Calculate the n...","relations=[{""data"": {""distance_si"": 0.052000000000000005, ""observation_id"": ""..."
LD328,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,3.29*10^6,V/m,could not build field geometry coordinates,"Two charges, q1 = +1.2 × 10^-6 C and q2 = -1.2 × 10^-6 C, are placed at points A and B, separated by 5.2 cm. Point M is on the perpendicular bisector of AB, at a distance of 4.9...","relations=[{""data"": {""distance_si"": 0.052000000000000005, ""observation_id"": ""..."
LD331,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,9.932*10^6,V/m,could not build field geometry coordinates,"Two electric charges, q1 = +3.5 × 10^-6 C and q2 = -3.5 × 10^-6 C, are placed at points A and B, separated by 8.1 cm. Point M lies on the perpendicular bisector of AB, at a dist...","relations=[{""data"": {""distance_si"": 0.081, ""observation_id"": ""obs_002_AB"", ""p..."
LD333,LD,electrostatics_field,numeric,geometry_midpoint_grounding,,-,9.18 × 10^6,V/m,could not build field geometry coordinates,"Two charges q1 = +1.2 × 10^-6 C and q2 = -1.2 × 10^-6 C are placed at points A and B, separated by 9.7 cm. Let M be the midpoint of AB. Calculate the resultant electric field st...","relations=[{""data"": {""distance_si"": 0.09699999999999999, ""observation_id"": ""o..."
LD334,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,9.932*10^6,V/m,could not build field geometry coordinates,"Two electric charges, q1 = +3.5 × 10^-6 C and q2 = -3.5 × 10^-6 C, are placed at two points A and B, separated by 8.1 cm. Point M lies on the perpendicular bisector of AB, 4.9 c...","relations=[{""data"": {""distance_si"": 0.081, ""observation_id"": ""obs_002_AB"", ""p..."
LD337,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,1.72*10^7,V/m,could not build field geometry coordinates,"Two point charges, q1 = -5.3 × 10^-6 C and q2 = -1.2 × 10^-6 C, are separated by a distance of 7.5 cm. Point M lies on the perpendicular bisector of the line segment connecting...","relations=[{""data"": {""distance_si"": 0.075, ""observation_id"": ""obs_002_num"", ""..."
LD338,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,1.00 × 10⁷,V/m,could not build field geometry coordinates,Two electric charges q1 = 4.2 × 10^-6 C and q2 = 2.1 × 10^-6 C are separated by a distance of 9.2 cm. Point M is located on the perpendicular bisector of the line segment connec...,"relations=[{""data"": {""distance_si"": 0.092, ""observation_id"": ""obs_002_num"", ""..."
LD339,LD,electrostatics_field,numeric,geometry_midpoint_grounding,,-,1.3*10^7,V/m,could not build field geometry coordinates,"Two charges, q1 = 5.3 × 10^-6 C and q2 = -3.0 × 10^-6 C, are separated by 9.2 cm. Point M is on the perpendicular bisector of the line segment connecting the charges, 4.6 cm fro...","relations=[{""data"": {""distance_si"": 0.092, ""observation_id"": ""obs_002_num"", ""..."
LD340,LD,electrostatics_field,numeric,geometry_midpoint_grounding,,-,8.87*10^6,V/m,could not build field geometry coordinates,"Two point charges, q1 = 3.6 × 10^-6 C and q2 = -2.1 × 10^-6 C, are separated by 9.2 cm. Point M is located on the perpendicular bisector of the line segment connecting the charg...","relations=[{""data"": {""of"": [""T"", ""H""], ""point"": ""M""}, ""id"": ""rel_000_midpoint..."
LD341,LD,electrostatics_field,numeric,geometry_relation_missing,,-,1.98*10^7,V/m,could not build field geometry coordinates,"Two point charges, q1 = 4.2 × 10^-6 C and q2 = 1.2 × 10^-6 C, are placed at points A and B, respectively, separated by 6.0 cm. Point M lies on the line connecting A and B, 3.3 c...","relations=[{""data"": {""distance_si"": 0.06, ""observation_id"": ""obs_002_AB"", ""po..."
LD342,LD,electrostatics_field,numeric,geometry_right_triangle_or_perpendicular,,-,2.1*10^6,V/m,could not build field geometry coordinates,"Two point charges, q1 = 3.6 × 10^-6 C and q2 = 3.0 × 10^-6 C, are separated by a distance of 9.2 cm. Point M lies on the line connecting A and B, but outside the segment AB, and...","relations=[{""data"": {""distance_si"": 0.092, ""observation_id"": ""obs_002_num"", ""..."
LD343,LD,electrostatics_field,numeric,geometry_relation_missing,,-,2.027*10^6,V/m,could not build field geometry coordinates,"Two charges, q1 = -2.4 × 10^-6 C and q2 = -2.1 × 10^-6 C, are separated by 7.5 cm. Point M lies on the line connecting the two charges but outside the segment between them, and...","relations=[{""data"": {""distance_si"": 0.075, ""observation_id"": ""obs_002_num"", ""..."
LD344,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,2.7*10^7,V/m,could not build field geometry coordinates,"Two point charges, q1 = 3.6 × 10^-6 C and q2 = -1.2 × 10^-6 C, are separated by 8.0 cm. Point M lies on the perpendicular bisector of the line segment connecting the two charges...","relations=[{""data"": {""distance_si"": 0.08, ""observation_id"": ""obs_002_num"", ""p..."
LD345,LD,electrostatics_field,numeric,geometry_relation_missing,,-,5.608*10^7,V/m,could not build field geometry coordinates,Two charges q1 = -2.4 × 10^-6 C and q2 = 1.2 × 10^-6 C are placed at two points separated by 9.2 cm. A point M is located 2.0 cm from q1 and 7.2 cm from q2. Calculate the total...,"relations=[{""data"": {""distance_si"": 0.092, ""observation_id"": ""obs_002_num"", ""..."
LD346,LD,electrostatics_field,numeric,geometry_relation_missing,,-,8.11*10^6,V/m,could not build field geometry coordinates,"Two electric charges, q1 = 4.2 × 10^-6 C and q2 = 4.8 × 10^-6 C, are separated by 6.0 cm. Point M lies on the line connecting the two charges (let's denote their positions as A...","relations=[{""data"": {""distance_si"": 0.06, ""observation_id"": ""obs_002_num"", ""p..."
LD347,LD,electrostatics_field,numeric,geometry_relation_missing,,-,4.725*10^7,V/m,could not build field geometry coordinates,"Two electric charges, q1 = -2.4 × 10^-6 C and q2 = -1.2 × 10^-6 C, are placed 6.0 cm apart. A point M is located 2.0 cm from q1 and 4.0 cm from q2. Calculate the resultant elect...","relations=[{""data"": {""distance_si"": 0.06, ""observation_id"": ""obs_002_num"", ""p..."
LD351,LD,electrostatics_field,numeric,geometry_relation_missing,,-,2.36*10^7,V/m,could not build field geometry coordinates,"Two electric charges q1 = 3.6 × 10^-6 C and q2 = 1.2 × 10^-6 C are placed at points A and B, separated by 7.5 cm. Point M lies on the line connecting A and B, at a distance of 3...","relations=[{""data"": {""distance_si"": 0.075, ""observation_id"": ""obs_002_AB"", ""p..."
LD354,LD,electrostatics_field,numeric,geometry_midpoint_grounding,,-,1.155*10^7,V/m,could not build field geometry coordinates,"Two electric charges, q1 = 5.3 × 10^-6 C and q2 = 1.2 × 10^-6 C, are separated by 9.2 cm. Point M lies on the perpendicular bisector of the line connecting the charges, at a dis...","relations=[{""data"": {""distance_si"": 0.092, ""observation_id"": ""obs_002_num"", ""..."
LD355,LD,electrostatics_field,numeric,geometry_right_triangle_or_perpendicular,,-,6.68 × 10^6,V/m,could not build field geometry coordinates,"Two electric charges q1 = 4.2 × 10⁻⁶ C and q2 = -1.2 × 10⁻⁶ C are separated by 7.5 cm. Point M lies on the line connecting A and B, but outside the segment AB, and is 10.8 cm to...","relations=[{""data"": {""distance_si"": 0.075, ""observation_id"": ""obs_002_num"", ""..."
LD356,LD,electrostatics_field,numeric,geometry_relation_missing,,-,2.2*10^7,V/m,could not build field geometry coordinates,Two charges q1 = 3.6 × 10^-6 C and q2 = 3.0 × 10^-6 C are placed 9.2 cm apart. A point M is 3.3 cm from q1 and 5.9 cm from q2. Calculate the net electric field strength at M. Gi...,"relations=[{""data"": {""distance_si"": 0.092, ""observation_id"": ""obs_002_num"", ""..."
LD357,LD,electrostatics_field,numeric,geometry_relation_missing,,-,2.85*10^7,V/m,could not build field geometry coordinates,"Two electric charges q1 = 3.6 × 10^-6 C and q2 = -3.0 × 10^-6 C are placed at points A and B, respectively, separated by 9.2 cm. Point M lies on the line connecting A and B, and...","relations=[{""data"": {""distance_si"": 0.092, ""observation_id"": ""obs_002_AB"", ""p..."
LD358,LD,electrostatics_field,numeric,geometry_right_triangle_or_perpendicular,,-,3.47 × 10^6,V/m,could not build field geometry coordinates,"Two electric charges, q1 = -3.6 × 10^-6 C and q2 = 1.2 × 10^-6 C, are separated by 8.0 cm. Point M lies on the line connecting A and B, but outside the segment AB, and is 12.4 c...","relations=[{""data"": {""distance_si"": 0.08, ""observation_id"": ""obs_002_num"", ""p..."
LD359,LD,electrostatics_field,numeric,geometry_midpoint_grounding,,-,6*10^6,V/m,could not build field geometry coordinates,"Two charges, q1 = -2.4 × 10^-6 C and q2 = -3.0 × 10^-6 C, are separated by 6.0 cm. M is the midpoint of the line segment connecting q1 and q2. Calculate the resultant electric f...","relations=[{""data"": {""of"": [""T"", ""H""], ""point"": ""M""}, ""id"": ""rel_000_midpoint..."
LD360,LD,electrostatics_field,numeric,geometry_relation_missing,,-,1.34 × 10⁷,V/m,could not build field geometry coordinates,"Two electric charges, q1 = -5.3 × 10^-6 C and q2 = -1.2 × 10^-6 C, are placed 7.5 cm apart. A point M is 4.4 cm from q1 and 3.1 cm from q2. Calculate the resultant electric fiel...","relations=[{""data"": {""distance_si"": 0.075, ""observation_id"": ""obs_002_num"", ""..."
