id,prefix,family,answer_type,review_bucket,pred_answer,pred_unit,gold_answer,gold_unit,failure_reason,question_snippet,trace_summary
DT034,DT,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,4.8e+06,V/m,27.6,cm,prediction did not match ground truth (numeric_unit_tolerant),"Points A and B are 15 cm apart in air. A charge q1 = -12 x 10^-6 C is placed at A, and a charge q2 = 2.5 x 10^-6 C is placed at B. Find point M where the net electric field due...","relations=[{""data"": {""distance_si"": 0.15, ""observation_id"": ""obs_002_AB"", ""po..."
DT035,DT,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,4.5e+06,V/m,45.10^{5},V/m,prediction did not match ground truth (numeric_unit_tolerant),"Two point charges q1 = -9 x 10^-6 C and q2 = -4 x 10^-6 C are placed at two points A and B, respectively, which are 20 cm apart in air. Calculate the magnitude of the resultant...","relations=[{""data"": {""distance_si"": 0.3, ""observation_id"": ""obs_002_AC"", ""poi..."
DT052,DT,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,10000,V/m,2160,V/m,prediction did not match ground truth (numeric_unit_tolerant),"Two point charges, q1 = 0.5 nC and q2 = –0.5 nC, are placed at points A and B, separated by 6 cm in air. What is the magnitude of the electric field intensity at point M, which...","relations=[{""data"": {""distance_si"": 0.06, ""observation_id"": ""obs_002_AB"", ""po..."
DT097,DT,electrostatics_field,text,electrostatics_target_geometry_or_vector,135000,V/m,2.3 x 10^4,N/C,prediction did not match ground truth (numeric_unit_tolerant),"Two point charges, q₁ = +3 × 10^-9 C and q₂ = –3 × 10^-9 C, are placed at two points A and B, separated by 4 cm. Calculate the magnitude of the electric field strength at point...","relations=[{""data"": {""distance_si"": 0.04, ""observation_id"": ""obs_002_AB"", ""po..."
LD332,LD,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,8.14403e+06,V/m,4.012*10^6,V/m,prediction did not match ground truth (numeric_unit_tolerant),"Two electric charges, q1 = +1.2 × 10^-6 C and q2 = -1.2 × 10^-6 C, are placed at points A and B, separated by 10.3 cm. Point M lies on the perpendicular bisector of AB, at a dis...","relations=[{""data"": {""distance_si"": 0.10300000000000001, ""observation_id"": ""o..."
LD336,LD,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,1.5e+07,V/m,1.31*10^7,V/m,prediction did not match ground truth (numeric_unit_tolerant),Two charges q1 = -3.6 × 10^-6 C and q2 = -2.1 × 10^-6 C are 6.0 cm apart. Point M is equidistant from A and B along a line perpendicular to AB and is 5.0 cm from the midpoint of...,"relations=[{""data"": {""of"": [""A"", ""B""], ""point"": ""M""}, ""id"": ""rel_000_midpoint..."
LD379,LD,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,8.88479e+06,V/m,8.28*10^6,V/m,prediction did not match ground truth (numeric_unit_tolerant),"Two point charges q1 = 2.60 × 10^-6 C and q2 = 3.39 × 10^-6 C are placed 5.86 cm apart. Calculate the magnitude of the electric field at a point on the perpendicular bisector, 2...","relations=[{""data"": {""distance_si"": 0.058600000000000006, ""observation_id"": ""..."
LD384,LD,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,4.03397e+06,V/m,5.27*10^6,V/m,prediction did not match ground truth (numeric_unit_tolerant),"Two charges, q1 = 1.50 × 10^-6 C and q2 = 2.19 × 10^-6 C, are placed 6.99 cm apart. Calculate the electric field strength at a point on the perpendicular bisector that is 3.5 cm...","relations=[{""data"": {""distance_si"": 0.0699, ""observation_id"": ""obs_002_num"",..."
LD387,LD,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,9.92818e+06,V/m,9.1*10^6,V/m,prediction did not match ground truth (numeric_unit_tolerant),"Two electric charges, q1 = 2.96 × 10^-6 C and q2 = 3.84 × 10^-6 C, are placed at two points 5.9 cm apart. Calculate the electric field strength at a point on the perpendicular b...","relations=[{""data"": {""distance_si"": 0.059000000000000004, ""observation_id"": ""..."
LD388,LD,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,6.44846e+06,V/m,5.02*10^6,V/m,prediction did not match ground truth (numeric_unit_tolerant),"Two charges, q1 = 3.75 × 10^-6 C and q2 = 3.14 × 10^-6 C, are placed 6.62 cm apart. Calculate the electric field strength at a point on the perpendicular bisector, where the poi...","relations=[{""data"": {""distance_si"": 0.06620000000000001, ""observation_id"": ""o..."
LD389,LD,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,9.41482e+06,V/m,1.94*10^6,V/m,prediction did not match ground truth (numeric_unit_tolerant),"Two charges, q1 = 3.29 × 10^-6 C and q2 = 3.13 × 10^-6 C, are placed at two points separated by 5.47 cm. Calculate the electric field strength at a point on the perpendicular bi...","relations=[{""data"": {""distance_si"": 0.0547, ""observation_id"": ""obs_002_num"",..."
LD391,LD,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,1.21365e+07,V/m,2.89*10^6,V/m,prediction did not match ground truth (numeric_unit_tolerant),Two charges q1 = 1.41 × 10^-6 C and q2 = 3.48 × 10^-6 C are placed at two points separated by 5.08 cm. Calculate the electric field strength at a point on the perpendicular bise...,"relations=[{""data"": {""distance_si"": 0.050800000000000005, ""observation_id"": ""..."
LD397,LD,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,4.92281e+06,V/m,3.15*10^6,V/m,prediction did not match ground truth (numeric_unit_tolerant),"Two charges q1 = 3.15 × 10^-6 C and q2 = 3.75 × 10^-6 C are placed 8.28 cm apart. Calculate the electric field strength at a point on the perpendicular bisector, which is 4.14 c...","relations=[{""data"": {""distance_si"": 0.0828, ""observation_id"": ""obs_002_num"",..."
LD400,LD,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,1.5932e+06,V/m,2.01*10^7,V/m,prediction did not match ground truth (numeric_unit_tolerant),Two point charges q1 = 4.78 × 10^-6 C and q2 = 1.15 × 10^-6 C are placed at two points separated by 8.06 cm. Calculate the electric field strength at a point on the perpendicula...,"relations=[{""data"": {""distance_si"": 0.0806, ""observation_id"": ""obs_002_num"",..."
TD364,TD,capacitor,numeric,capacitor_voltage_capacitance_target_ambiguity,4,μF,0.100,nC,prediction did not match ground truth (numeric_unit_tolerant),A capacitor has a charge of 20 μC and a voltage of 5 V. Calculate the capacitance.,"formula=""C=Q/U"" | value_si=4e-06"
